contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
PERFECT BUSINESS SYSTEMS,https://www.ppaghana.org/contractdetail.asp?Con_ID=1436,20250.0,1436.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-06-23,,New Ghana Cedi,Controller And Accountant General Department,,2014-08-18,,,"P. O. BOX CT 211
CANTOMENTS
ACCRA",2017-10-06 16:25:23.729424,,,Controller And Accountant General Department /
LEGIBLE-INK CONSULTS,https://www.ppaghana.org/contractdetail.asp?Con_ID=1437,210000.0,1437.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=291,2014-05-21,,New Ghana Cedi,Controller And Accountant General Department,,2014-07-16,,,"P. O. BOX 11930
ACCRA - NORTH",2017-10-06 16:26:00.547954,,,Controller And Accountant General Department /
Ernest Chemists Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1438,186240.0,1438.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Ernest Chemists Ltd
P. O. Box 3345
Accra",2017-10-06 16:25:44.237327,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
God's Power Investment Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1439,57400.0,1439.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"God's Power Investment Ltd,
P. O. Box NT 245,
Kumasi",2017-10-06 16:25:59.066743,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Investrade International Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1440,1095610.0,1440.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Investrade International Company Ltd,
P. O. Box DS 389,
Dansoman, Accra",2017-10-06 16:26:13.820105,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Frandak Agency,https://www.ppaghana.org/contractdetail.asp?Con_ID=1441,739340.0,1441.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Frandak Agency,
P. O. Box GP 18727,
Accra",2017-10-06 16:26:20.793059,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Sir Joe Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=1442,376710.0,1442.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Sir Joe Enterprise,
P. O. Box KS 10736,
Kumasi",2017-10-06 16:26:27.859875,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Rikoba Company Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=1443,40800.0,1443.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-06-30,,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),,2014-09-22,,1,"Rikoba Company Ltd.
P. O. Box CT 6395
Cantonments - Accra.",2017-10-06 16:26:33.563867,,,Social Security and National Insurance Trust (SSNIT) /
Perfect Business Systems Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=1444,47500.0,1444.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-06-27,,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),,2014-07-25,,1,"Perfect Business Systems Ltd.
P. O. Box GP 13724
Accra.",2017-10-06 16:26:46.412769,,,Social Security and National Insurance Trust (SSNIT) /
Perfect Business Systems Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=1445,47500.0,1445.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-06-27,,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),,2014-07-25,,3,"Perfect Business Systems Ltd.
P. O. Box GP 13724
Accra.",2017-10-10 12:50:48.202769,,,Social Security and National Insurance Trust (SSNIT) /
Perfect Business Systems Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=1446,12350.0,1446.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-06-27,,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),,2014-07-25,,1,"Perfect Business Systems Ltd.
P. O. Box GP 13724
Accra.",2017-10-10 12:51:03.432802,,,Social Security and National Insurance Trust (SSNIT) /
Perfect Business Systems Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=1447,74120.0,1447.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-06-27,,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),,2014-07-25,,2,"Perfect Business Systems Ltd.
P. O. Box GP 13724
Accra.",2017-10-10 12:51:19.246283,,,Social Security and National Insurance Trust (SSNIT) /
Paper House Ltd.,https://www.ppaghana.org/contractdetail.asp?Con_ID=1448,61800.0,1448.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-06-27,,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),,2014-07-25,,1,"Paper House Ltd.
P. O. Box TA 239
Taifa - Accra.",2017-10-10 12:51:35.257932,,,Social Security and National Insurance Trust (SSNIT) /
Emperor Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1449,252700.0,1449.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Emperor Company Ltd,
P. O. Box KS 9377,
Kumasi",2017-10-10 12:51:52.590348,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Stak-Fam Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1450,47132.8,1450.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Stak-Fam Company Ltd,
P. O. Box X 618,
Kumasi",2017-10-10 12:52:10.874958,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Healthy Vita Pharmacy Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1451,29500.0,1451.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Healthy Vita Pharmacy Ltd,
P. O. Box CT 2575,
Cantonment, Accra",2017-10-10 12:52:21.990946,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Herona Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1452,14600.0,1452.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Herona Company Ltd,
P. O. Box KN 229,
Kaneshie, Accra",2017-10-10 12:52:31.164514,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Joffasco 'J' Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=1453,23000.0,1453.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Joffasco 'J' Enterprise,
P. O. Box 2556,
Kumasi",2017-10-10 12:52:41.391670,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Joffass Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=1454,12000.0,1454.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Joffass Enterprise,
P. O. Box KS 11699,
Kumasi",2017-10-10 12:52:56.925028,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Baron Healthcare Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1455,154000.0,1455.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Baron Healthcare Ltd,
P. O. Box BA 112,
Kumasi",2017-10-10 12:53:10.779048,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Sanbao (GH) Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1456,75000.0,1456.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Sanbao (GH) Pharmaceuticals Ltd,
P. O. Box CE 12118,
Comm 11, Tema",2017-10-10 12:53:24.173750,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Belshaw Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1457,64400.0,1457.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Belshaw Ltd,
P. O. Box CE 11542,
Tema",2017-10-10 12:53:36.392113,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Palb Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1458,106500.0,1458.0,NON-MEDICINE CONSUMABLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF NON-MEDICINE CONSUMABLES,2014-07-11,NCT,Various,"Palb Pharmaceuticals Ltd,
P. O. Box 4437,
Kumasi",2017-10-10 12:53:50.380665,,GHS/2014/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
As Allah-Dey Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1459,104921.0,1459.0,PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,2014-07-11,NCT,Various,"As Allah-Dey Company Ltd,
P. O. Box 9555
KIA - Accra",2017-10-10 12:54:00.223843,,GHS/2014/NCT/A.1.2/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Kinapharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1460,36240.0,1460.0,PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,2014-07-11,NCT,Various,"Kinapharma Ltd,
P. O. Box KS 921
Kumasi",2017-10-10 12:54:19.519608,,GHS/2014/NCT/A.1.2/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
U. K. Chemicals Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1461,11750.0,1461.0,PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,2014-07-11,NCT,Various,"U. K. Chemicals Company Ltd,
P. o. Box Ks 5152
Kumasi",2017-10-10 12:54:33.429046,,GHS/2014/NCT/A.1.2/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Letap Packaging Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1462,421500.0,1462.0,PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF PHARMACEUTICAL RAW MATERIALS & PLASTIC BOTTLES,2014-07-11,NCT,Various,"Letap Packaging Ltd,
P. O. Box 3346
Kumasi",2017-10-10 12:54:51.373279,,GHS/2014/NCT/A.1.2/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Kinapharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1463,2213520.0,1463.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Kinapharma Ltd,
P. O. Box KS 921
Kumasi",2017-10-10 12:55:06.991188,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Oson's Chemist Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1464,135290.0,1464.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Oson's Chemist Ltd,
P. O. Box 2884
Kumasi",2017-10-10 12:55:16.272009,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Lymens Medical Suppliers Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1465,1806000.0,1465.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Lymens Medical Suppliers Ltd
P. O. Box DS 1776
Dansoman - Accra",2017-10-10 12:55:26.443741,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Ernest Chemists Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1466,1571440.0,1466.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Ernest Chemists Ltd
P. O. Box 3345
Accra",2017-10-10 12:55:35.246851,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Kojach Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1467,90000.0,1467.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Kojach Limited,
P. O. Box 3159
Kumasi",2017-10-10 12:55:42.964132,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
M & G Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1468,137816.0,1468.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"M & G Pharmaceuticals Ltd
P. O. Box 1681
Accra",2017-10-10 12:55:50.633257,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Surgecare & Pharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1469,171000.0,1469.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Surgecare & Pharma Ltd
P. O. Box CT 4575
Cantonment - Accra",2017-10-10 12:55:58.577799,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Senes Pharma Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1470,36500.0,1470.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Senes Pharma Company Ltd
P. O. Box TT 478
Tema New Town",2017-10-10 12:56:05.630478,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Unicom Chemist Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1471,185850.0,1471.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Unicom Chemist Ltd
P. O. Box OS 591
Osu - Accra",2017-10-10 12:56:14.334665,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Roxin Ghana Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1472,778700.0,1472.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Roxin Ghana Ltd,
P. O. Box 78
Osu - Accra",2017-10-10 12:56:25.881649,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Sanbao (GH) Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1473,701400.0,1473.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Sanbao (GH) Pharmaceuticals Ltd
P. O. Box CE 12118
Comm 11, Tema",2017-10-10 12:56:36.264596,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Palb Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1474,570950.0,1474.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"Palb Pharmaceuticals Ltd
P. O. Box 4437
Kumasi",2017-10-10 12:56:45.787904,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
CSPC Medsolution (GH) Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1475,267500.0,1475.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"CSPC Medsolution (GH) Ltd
P. O. Box GP 13713
Accra",2017-10-10 12:56:54.799470,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
East Cantonments Pharmacy Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1476,519320.0,1476.0,ESSENTIAL MEDICINES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2014-06-11,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,SUPPLY OF ESSENTIAL MEDICINES,2014-07-11,NCT,Various,"East Cantonments Pharmacy Ltd
P. O. Box GP 20149
Accra - North",2017-10-10 12:57:04.163132,,GHS/2014/NCT/B.2.1/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
